Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Cost
alphabet-bingo-letter-for-2-to-6,Alphabet Bingo! Letter For 2 To 6,"<p>Discover Alphabet Bingo! Letter For 2 To 6, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Peaceable Kingdom,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-ALPHAB-132,0,shopify,100,deny,manual,16.99,,true,true,,https://m.media-amazon.com/images/I/81GQNkZkdKL._AC_SX679_.jpg,1,Peaceable Kingdom Alphabet Bingo! Letter Learning Educational Board Game for 2 to 6 Kids Ages 4+,false,Alphabet Bingo! Letter For 2 To 6,"Get the fun and exciting Alphabet Bingo! Letter For 2 To 6. Perfect for family game nights, parties, and gifts!",10.19
big-potato-tilt-n-shout,Big Potato Tilt 'n' Shout,"<p>Discover Big Potato Tilt 'n' Shout, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Big Potato,Board Games,Board Games,"board-game, kids-game, party-game",true,Title,Default Title,,,DB-BG-BIGPOT-133,0,shopify,100,deny,manual,21.24,,true,true,,https://m.media-amazon.com/images/I/71H2t-JRONL._AC_SX679_.jpg,1,Big Potato Tilt 'n' Shout: A Speedy Family Board Game for Adults and Kids | Best New Board Games 2024,false,Big Potato Tilt 'n' Shout,"Get the fun and exciting Big Potato Tilt 'n' Shout. Perfect for family game nights, parties, and gifts!",12.74
barbecubes,Barbecubes,"<p>Discover Barbecubes, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Alley Cat Games,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-BARBEC-134,0,shopify,100,deny,manual,13.99,,true,true,,https://m.media-amazon.com/images/I/61VhoFwmeAL._AC_SX300_SY300_QL70_FMwebp_.jpg,1,"Barbecubes by Alley Cat Games | for Ages 6 and Up | 2 to 6 Players | Fast-Paced BBQ Balance Game with Tongs, Stacking Food Pieces, and Elimination Gameplay | Kids, Family, and Game Night Fun",false,Barbecubes,"Get the fun and exciting Barbecubes. Perfect for family game nights, parties, and gifts!",8.39
tournament-chess-set-20x20-foldable-silicone-chess-b,Tournament Chess Set/ 20''x20'' Foldable Silicone Chess B...,"<p>Discover Tournament Chess Set/ 20''x20'' Foldable Silicone Chess B..., a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",A&A,Board Games,Board Games,"board-game, chess, classic",true,Title,Default Title,,,DB-BG-TOURNA-135,0,shopify,100,deny,manual,48.80,,true,true,,https://m.media-amazon.com/images/I/81B3pqBCtuL._AC_SX679_.jpg,1,A&A Tournament Chess Set/ 20''x20'' Foldable Silicone Chess Board / 3.75'' King Height Plastic Quadruple Weighted Classic Staunton Pieces/Storage Bag for 6 Years Old - 2 Players,false,Tournament Chess Set/ 20''x20'' Foldable Silicone Chess B...,"Get the fun and exciting Tournament Chess Set/ 20''x20'' Foldable Silicone Chess B.... Perfect for family game nights, parties, and gifts!",29.28
avalon-hill-talisman,Avalon Hill Talisman,"<p>Discover Avalon Hill Talisman, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Avalon Hill,Board Games,Board Games,"board-game, strategy-game",true,Title,Default Title,,,DB-BG-AVALON-136,0,shopify,100,deny,manual,31.01,,true,true,,https://m.media-amazon.com/images/I/91DpWteH-LL._AC_SX679_.jpg,1,"Avalon Hill Talisman: The Magical Quest Board Game, 5th Edition | Fantasy Tabletop Adventure Games | Ages 12 and Up | 2 to 6 Players | Roleplaying Strategy Games",false,Avalon Hill Talisman,"Get the fun and exciting Avalon Hill Talisman. Perfect for family game nights, parties, and gifts!",18.61
monopoly-hello-kitty-and-friends,Monopoly: Hello Kitty And Friends,"<p>Discover Monopoly: Hello Kitty And Friends, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",USAOPOLY,Board Games,Board Games,"board-game, monopoly, classic",true,Title,Default Title,,,DB-BG-MONOPO-137,0,shopify,100,deny,manual,34.97,,true,true,,https://m.media-amazon.com/images/I/817rSR7JaIL._AC_SX679_.jpg,1,"Monopoly: Hello Kitty and Friends, Buy, Sell, Trade Buildings from The Animated Series, Featuring My Melody, Badtz-Maru, Keroppi, Classic Monopoly Game, Officially-Licensed Hello Kitty Merchandise",false,Monopoly: Hello Kitty And Friends,"Get the fun and exciting Monopoly: Hello Kitty And Friends. Perfect for family game nights, parties, and gifts!",20.98
terraforming-mars-by-stronghold,Terraforming Mars By Stronghold,"<p>Discover Terraforming Mars By Stronghold, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Stronghold Games,Board Games,Board Games,"board-game, strategy-game",true,Title,Default Title,,,DB-BG-TERRAF-138,0,shopify,100,deny,manual,77.82,,true,true,,https://m.media-amazon.com/images/I/91x5bb0PyaL._AC_SX679_.jpg,1,"Terraforming Mars by Stronghold Games, Strategy Board Game",false,Terraforming Mars By Stronghold,"Get the fun and exciting Terraforming Mars By Stronghold. Perfect for family game nights, parties, and gifts!",46.69
box-one-presented-1-player,Box ONE Presented 1 Player,"<p>Discover Box ONE Presented 1 Player, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",theory11,Board Games,Board Games,"board-game, family-game",true,Title,Default Title,,,DB-BG-BOXONE-139,0,shopify,100,deny,manual,34.95,,true,true,,https://m.media-amazon.com/images/I/71TLIXLm4eL._AC_SX679_.jpg,1,theory11 Box ONE Board Game Presented by Neil Patrick Harris 1 player,false,Box ONE Presented 1 Player,"Get the fun and exciting Box ONE Presented 1 Player. Perfect for family game nights, parties, and gifts!",20.97
flamecraft,Flamecraft,"<p>Discover Flamecraft, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",LUCKY DUCK GAMES,Board Games,Board Games,"board-game, kids-game, strategy-game",true,Title,Default Title,,,DB-BG-FLAMEC-140,0,shopify,100,deny,manual,37.99,,true,true,,https://m.media-amazon.com/images/I/71NzxS7QIvL._AC_SX679_.jpg,1,Flamecraft Board Game | Strategy Dragon Fantasy Fun Family for Kids & Adults Ages 10+ 1-5 Players Average Playtime 60 Minutes Made by Lucky Duck Games (LKY-FMC-R01-EN),false,Flamecraft,"Get the fun and exciting Flamecraft. Perfect for family game nights, parties, and gifts!",22.79
happy-camper-the-four-doors,Happy Camper: The Four Doors,"<p>Discover Happy Camper: The Four Doors, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Happy Camper,Board Games,Board Games,"board-game, family-game",true,Title,Default Title,,,DB-BG-HAPPYC-141,0,shopify,100,deny,manual,19.99,,true,true,,https://m.media-amazon.com/images/I/71p1O9KNrUL._AC_SX679_.jpg,1,"Happy Camper - The Four Doors | Cooperative Game by Pandemic and Forbidden Island Creator | Perfect for Solo Play, Two Players, and Small Groups | Portable Adventure Game",false,Happy Camper: The Four Doors,"Get the fun and exciting Happy Camper: The Four Doors. Perfect for family game nights, parties, and gifts!",11.99
